Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,4365.709961,4377.720215,4343.870117,4352.100098,4352.100098,42163100
2020-01-23,4350.950195,4359.919922,4303.509766,4324.770020,4324.770020,41634900
2020-01-24,4323.339844,4370.490234,4323.339844,4344.259766,4344.259766,42872400
2020-01-27,4327.450195,4327.450195,4240.470215,4246.680176,4246.680176,49010300
2020-01-28,4251.250000,4336.950195,4234.939941,4323.930176,4323.930176,46380700
2020-01-29,4321.759766,4346.080078,4304.240234,4315.410156,4315.410156,55150600
2020-01-30,4306.000000,4345.879883,4288.359863,4322.740234,4322.740234,57721400
2020-01-31,4325.020020,4341.180176,4300.080078,4300.080078,4300.080078,48842100
2020-02-03,4294.169922,4304.310059,4263.049805,4294.100098,4294.100098,39632100
2020-02-04,4295.220215,4363.990234,4295.220215,4359.759766,4359.759766,52167900
2020-02-05,4359.430176,4449.359863,4354.459961,4440.140137,4440.140137,76920600
2020-02-06,4456.640137,4548.100098,4456.640137,4485.859863,4485.859863,92175500
2020-02-07,4484.149902,4525.720215,4475.080078,4525.720215,4525.720215,99204000
2020-02-10,4526.500000,4537.839844,4501.029785,4517.509766,4517.509766,54598600
2020-02-11,4534.060059,4590.939941,4534.060059,4581.490234,4581.490234,69599300
2020-02-12,4578.029785,4578.970215,4534.109863,4558.540039,4558.540039,58034800
2020-02-13,4550.740234,4550.740234,4506.359863,4548.319824,4548.319824,55237300
2020-02-14,4548.569824,4566.359863,4539.779785,4546.569824,4546.569824,36178700
2020-02-17,4552.419922,4562.419922,4501.750000,4526.379883,4526.379883,0
2020-02-18,4524.629883,4524.629883,4458.790039,4458.790039,4458.790039,42030500
2020-02-19,4464.580078,4504.709961,4464.580078,4502.680176,4502.680176,36057300
2020-02-20,4502.790039,4505.439941,4481.589844,4483.859863,4483.859863,44030300
2020-02-21,4481.109863,4483.149902,4436.339844,4470.000000,4470.000000,0
2020-02-24,4445.009766,4445.009766,4307.600098,4317.040039,4317.040039,71417900
2020-02-25,4316.709961,4343.580078,4231.859863,4236.709961,4236.709961,60201000
2020-02-26,4233.560059,4291.189941,4059.679932,4276.299805,4276.299805,82196200
