Time,Cases,Close,next_Close
191,7467,4078.959961,3966.310059
195,7545,3434.52002,3966.310059
196,7567,3684.590088,4607.689941
197,7596,4128.899902,4247.140137
198,7618,3966.310059,4209.430176
200,7644,4269.209961,4209.430176
201,7679,4379.589844,4253.52002
203,7722,4607.689941,4255.27002
204,7749,4247.140137,4223.379883
205,7770,4209.430176,4225.910156
208,7854,4253.52002,4285.609863
209,7881,4240.459961,4302.149902
210,7920,4255.27002,4353.310059
211,7967,4223.379883,4338.879883
212,7994,4225.910156,4333.029785
215,8046,4285.609863,4308.799805
216,8063,4302.149902,4308.799805
217,8078,4353.310059,4308.799805
218,8098,4338.879883,3595.939941
219,8130,4333.029785,3467.26001
222,8202,4308.799805,3918.610107
225,8305,3595.939941,4419.209961
226,8341,3467.26001,4446.0
228,8405,4089.560059,4446.0
229,8438,3918.610107,4308.569824
231,8540,4342.930176,4397.759766
232,8595,4419.209961,4399.959961
233,8649,4446.0,4403.649902
234,8707,4594.490234,4403.649902
236,8792,4308.569824,4254.850098
237,8851,4336.430176,4301.350098
238,8904,4397.759766,4299.919922
239,8962,4399.959961,4249.080078
240,9047,4403.649902,4215.649902
243,9262,4254.850098,4309.080078
244,9382,4301.350098,4291.649902
245,9492,4299.919922,4280.970215
246,9610,4249.080078,4280.970215
247,9708,4215.649902,4517.509766
250,9981,4309.080078,4517.509766
251,10105,4291.649902,4049.179932
252,10239,4280.970215,3942.879883
254,10598,4517.509766,4326.109863
255,10785,3536.209961,4326.109863
258,11402,4049.179932,4439.580078
259,11703,3942.879883,4468.22998
260,12009,4170.600098,4403.02002
261,12268,4326.109863,4439.490234
263,12605,4503.27002,4439.490234
264,12737,4585.319824,4447.52002
265,12993,4439.580078,4429.080078
266,13192,4468.22998,4384.109863
267,13394,4403.02002,4366.02002
268,13585,4439.490234,4385.149902
271,14013,4447.52002,4299.859863
272,14256,4429.080078,4237.430176
273,14423,4384.109863,4113.370117
274,14611,4366.02002,4036.919922
275,14834,4385.149902,4057.0
278,15259,4299.859863,4581.490234
279,15514,4237.430176,3504.26001
280,15748,4113.370117,3504.26001
281,15988,4036.919922,3672.360107
282,16224,4057.0,3880.419922
285,16716,4581.490234,4317.049805
286,17003,3504.26001,4317.049805
288,17458,3672.360107,4547.950195
289,17676,3880.419922,4421.330078
291,18000,4217.080078,4421.330078
292,18132,4317.049805,4464.310059
294,18611,4478.47998,4504.75
295,18906,4547.950195,4464.490234
296,19190,4421.330078,4491.450195
299,19783,4464.310059,4506.810059
300,20176,4470.689941,4560.370117
301,20564,4504.75,4575.080078
302,20941,4464.490234,4567.640137
303,21419,4491.450195,4624.109863
306,22384,4506.810059,4564.660156
307,22888,4560.370117,4564.660156
308,23359,4575.080078,4558.540039
309,23978,4567.640137,3149.340088
310,24488,4624.109863,3149.340088
313,25521,4564.660156,3149.340088
315,26557,4558.540039,3149.340088
316,27052,3149.340088,4470.040039
318,28003,3699.070068,4470.040039
319,28253,3905.23999,4470.040039
321,29123,4258.47998,4594.669922
323,30063,4470.040039,4578.950195
324,30470,4429.160156,4575.419922
327,31442,4553.370117,4468.939941
328,31905,4594.669922,4500.27002
329,32265,4603.040039,4530.209961
330,32617,4578.950195,4530.209961
331,32942,4575.419922,4530.209961
334,33771,4468.939941,4584.009766
335,34146,4500.27002,4622.839844
336,34478,4530.209961,4586.149902
341,35424,4584.009766,4966.759766
342,35859,4622.839844,4966.759766
343,36167,4586.149902,5220.240234
346,36804,4754.069824,5688.930176
347,37009,4850.740234,5342.22998
348,37178,4966.759766,5396.950195
350,37837,5220.240234,4722.75
351,38045,5363.25,4756.049805
353,38629,5688.930176,4756.049805
354,38822,5342.22998,4756.049805
355,39010,5396.950195,4739.850098
356,39396,5429.47998,4735.779785
357,39625,4722.75,4799.680176
358,39883,4756.049805,4830.049805
359,40131,4714.799805,4794.330078
362,40766,4739.850098,4803.560059
363,41213,4735.779785,4827.209961
364,41555,4799.680176,4850.209961
365,41961,4830.049805,4751.609863
366,42338,4794.330078,4735.390137
369,43114,4803.560059,4735.390137
370,43719,4827.209961,4763.790039
371,44116,4850.209961,4880.470215
372,44498,4751.609863,4880.470215
373,44933,4735.390137,4880.470215
377,46353,4763.790039,5750.700195
378,46749,4880.470215,5750.700195
381,47928,5281.299805,5750.700195
382,48165,5388.609863,5750.700195
383,48429,5645.910156,5750.700195
384,48890,5750.700195,4920.97998
386,49646,5409.660156,4845.149902
387,50007,5380.959961,4852.810059
391,51601,4920.97998,4807.819824
392,52114,4874.839844,4838.589844
393,52667,4845.149902,4883.089844
394,53281,4852.810059,4789.27002
397,54526,4833.700195,4789.27002
398,55149,4807.819824,4819.120117
399,55774,4838.589844,4870.160156
400,56373,4883.089844,4870.160156
401,57002,4789.27002,5139.410156
405,59388,4819.120117,5749.879883
